name,categories,address,lat,lng,price,likes,photos,tips,rating,cuisine_similarity,budget_match,rating_match,like_probability
Dunkin' Donuts (دانكن دونتس),donut shop,"Saud bin Faisal St. (Saud bin faisal St.), الرياض, المملكة العربية السعودية",24.79768656271032,46.64177426269907,Cheap,433.0,436,49,8.7,0.27072508730579614,1,1,0.8603212490675765
FROZ (فروز),frozen yogurt shop  ice cream shop,"حي الصحافة (Imam Saud Bin Faisal St.), الرياض, المملكة العربية السعودية",24.79794960479597,46.64195282915159,Cheap,394.0,284,80,8.8,0.22226679442606842,1,1,0.8481356359089721
Abu Jbara (أبو جبارة),falafel restaurant  breakfast spot,"Saud bin Faisal St, الرياض, المملكة العربية السعودية",24.797723508800544,46.641451499067145,Cheap,466.0,138,130,8.1,0.0,1,1,0.7809091203153626
Baskin Robbins (باسكن روبنز),ice cream shop  dessert shop,"Saud Bin Faisal St., المملكة العربية السعودية",24.797634951224914,46.64169989099863,Cheap,36.0,36,13,8.8,0.32163096982795075,1,1,0.8722291656613552
Torta and more (تورتا اند مور),bakery  sandwich place,"Al-Sahafa (Imam Saud Bin Faisal St), الرياض, المملكة العربية السعودية",24.797625094409145,46.641578349139394,Cheap,171.0,123,52,8.4,0.0,1,1,0.7809091203153626
Dana Cafe,café,المملكة العربية السعودية,24.79845024524735,46.64252643203741,Cheap,5.0,13,2,,0.0,1,0,0.5449488073458703
Khafif (خفيف),snack place,المملكة العربية السعودية,24.79776182137177,46.6416234525632,Cheap,39.0,27,15,8.3,0.0,1,1,0.7809091203153626
Tuğra Restaurant (مطعم تورا العثماني),turkish restaurant  eastern european restaurant,"7647 King Fahd Rd, الرياض, المملكة العربية السعودية",24.792400433319568,46.6323445212726,Moderate,94.0,197,108,5.4,0.0,0,0,0.16572613385048973
دومينوز بيتزا Domino’s Pizza,pizza place,"طريق الملك فهد, الرياض 13315, المملكة العربية السعودية",24.790573,46.63274000000001,Cheap,3.0,7,4,7.0,0.0,1,1,0.7809091203153626
شاأروما,fast food restaurant,"طريق الملك فهد, الرياض 13315, المملكة العربية السعودية",24.790924,46.632726,Cheap,3.0,11,0,,0.0,1,0,0.5449488073458703
Taghmees (تغميس),breakfast spot,"Al Olaya St, الرياض, المملكة العربية السعودية",24.80004979426256,46.631649261628255,Cheap,101.0,59,33,7.1,0.0,1,1,0.7809091203153626
تي تي كافيه,café,"الرياض 13321, المملكة العربية السعودية",24.794952,46.632136,Cheap,6.0,21,0,,0.0,1,0,0.5449488073458703
DoseOfCandy,dessert shop,المملكة العربية السعودية,24.798556341950174,46.63899153725425,Cheap,2.0,1,0,,0.31805456601993665,1,0,0.6948510936216132
البلح الذهبي,dessert shop,"Alsahafa, Olaya st. (Olaya st), الرياض, المملكة العربية السعودية",24.79606970056055,46.63339322992597,Cheap,41.0,22,24,7.3,0.31805456601993665,1,1,0.8714216955993914
Sultan Ahmet (سلطان أحمد),turkish restaurant,"الرياض, المملكة العربية السعودية",24.79960999082645,46.644845705595976,Moderate,105.0,194,60,7.7,0.0,0,1,0.3715589095019695
LAMY FOOD,food court,"الرياض 13321, المملكة العربية السعودية",24.800455,46.645904,Unknown,20.0,97,8,8.7,0.0,0,1,0.3715589095019695
فوال دار الطائف,breakfast spot,"شارع سلمان بن محمد, المملكة العربية السعودية",24.799737778218827,46.643530136344005,Cheap,41.0,20,5,7.6,0.0,1,1,0.7809091203153626
Java café (جاڤا كافيه),café,المملكة العربية السعودية,24.79945624907604,46.64524912136546,Cheap,62.0,66,15,6.8,0.0,1,0,0.5449488073458703
Lami Restaurant,restaurant,"Al-sahafa, الرياض 13321, المملكة العربية السعودية",24.800298,46.64562700000001,Moderate,4.0,37,2,,0.0,0,0,0.16572613385048973
مطعم اوراق السنبله,middle eastern restaurant  breakfast spot,"شارع الامير سلمان بن محمد بن سعود, الرياض, المملكة العربية السعودية",24.802402,46.642481,Moderate,1.0,0,4,5.0,0.0,0,0,0.16572613385048973
مطعم لامي,breakfast spot,"الرياض 13321, المملكة العربية السعودية",24.800536,46.645966,Cheap,7.0,22,1,,0.0,1,0,0.5449488073458703
جباتي و كرك,café  food truck,"الرياض 13516, المملكة العربية السعودية",24.79963703391561,46.64486815372936,Cheap,11.0,41,4,6.9,0.0,1,0,0.5449488073458703
Le palais abdul rahman hallab and sons,dessert shop,المملكة العربية السعودية,24.799014373624512,46.64632992231196,Cheap,3.0,68,0,,0.31805456601993665,1,0,0.6948510936216132
Fwal AL Taif,food court,المملكة العربية السعودية,24.799719,46.643494,Unknown,3.0,0,0,,0.0,0,0,0.16572613385048973
AlSaaj AlReefi (الصاج الريفي),sandwich place,"AlSahafah, الرياض, المملكة العربية السعودية",24.79786698821808,46.64180079828834,Cheap,30.0,28,16,6.5,0.0,1,0,0.5449488073458703
فوال دار ربى الطائف,breakfast spot,"الرياض 13321, المملكة العربية السعودية",24.79972,46.643423,Cheap,0.0,1,0,,0.0,1,0,0.5449488073458703
Non-Stop Truck (لا يوقف),food truck  dessert shop,"Prince Turki Al-awal St. (Turki Alawal St.), الرياض, المملكة العربية السعودية",24.773918809730983,46.61886925307101,Cheap,10.0,52,3,8.0,0.2117547390293682,1,1,0.8453797243933472
بخاري مدري شسمه بس لذيذ,afghan restaurant,"الرياض 13321, المملكة العربية السعودية",24.801573,46.642903,Moderate,0.0,2,0,,0.0,0,0,0.16572613385048973
بيت الكنفاني,pastry shop,"الصحافة بلازا (الامير سلمان بن محمد), الرياض 13315, المملكة العربية السعودية",24.798099,46.64262700000001,Unknown,1.0,0,0,,0.23425671427358505,0,0,0.24178476972805826
Awrag Alsunbulah,middle eastern restaurant,"6964 الامير سلمان بن محمد بن سعود, As Sahafah, الرياض 3989, المملكة العربية السعودية",24.801996321287927,46.642568320831785,Moderate,1.0,0,0,,0.0,0,0,0.16572613385048973
شاهي جمر,food stand,"الرياض 13321, المملكة العربية السعودية",24.799714,46.644245,Unknown,0.0,0,0,,0.0,0,0,0.16572613385048973
